topic,label
0,Defense industry dynamics
1,Offset obligations reporting
2,Procurement Efficiency Issues
3,Defence offset policies
4,Challenges of Offsets
5,Arms trade financing
6,Import-Export Dynamics
7,Offset Agreements Effectiveness
8,Offset programs analysis
9,Defense industrial strategy
10,Challenges in Offset Evaluation
11,Technology Transfer Offsets
12,Procurement and Industrial Participation
13,Technology Transfer Strategies
14,Buyer welfare dynamics
15,Industrial Participation Challenges
16,Offset Credit Accounting
17,Offset agreements and relationships
18,Local content obligations
19,Aerospace industry development
20,Military-industrial impacts
21,Offset programmes and partnerships
22,Offset Policy Dynamics
23,Technology transfer challenges
24,Defence Procurement Strategies
25,Defence offsets challenges
26,Foreign partnership strategies
27,Domestic industrial expansion
28,Greek OIB governance
